Pruning_Method,Venue,Year,Pruning_Location,Pruned_Target,VLM,edit,Token_Retention,GQA,MMB,MM-CN,MME,POPE,SQA,VQA_v2,VQA_Text,VizWiz,FLOPs,Inference (ms),GitHub
Vanilla,CVPR'24,2024,none,none,LLaVA-1.5-7B,0,576,61.9,64.7,58.1,1862,85.9,69.5,78.5,58.2,50,0,0,-
ToMe,ICLR'23,2023,vision encoder,visual token,LLaVA-1.5-7B,0,192,54.3,60.5,-,1563,72.4,65.2,68,52.1,-,0,0,
FastV,ECCV'24,2024,vision encoder,visual token,LLaVA-1.5-7B,0,192,52.7,61.2,57,1612,64.8,67.3,67.1,52.5,50.8,0,0,
HIRED,AAAI'25,2025,vision encoder,visual token,LLaVA-1.5-7B,0,192,58.8,62.6,54.5,1742,83,67.9,75,-,51.1,0,0,
TRIM,COLING'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,192,59.9,64.1,53.6,1765,87.1,67.8,76.2,54.9,50.4,0,0,
PyramidDrop,CVPR'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,192,57.3,63.3,56.8,1797,82.3,69,75.1,56.5,51.1,0,0,
VisionZip,CVPR'25,2025,vision encoder,visual token,LLaVA-1.5-7B,0,192,59.3,63,-,1783,85.3,68.9,76.8,57.3,-,0,0,
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,192,59.5,64.1,58,1780,85.4,68.8,77,57.7,50.6,0,0,
HiPrune,AAAI'26,2026,vision encoder,visual token,LLaVA-1.5-7B,0,192,59.2,62.8,57,1814,86.1,68.9,76.7,57.6,54.5,0,0,
ToMe,ICLR'23,2023,vision encoder,visual token,LLaVA-1.5-7B,0,128,52.4,53.3,48.8,1343,62.8,59.6,63,49.1,50.2,0,0,
FastV,ECCV'24,2024,vision encoder,visual token,LLaVA-1.5-7B,0,128,49.6,56.1,56.6,1490,59.6,60.2,61.8,50.6,51.3,0,0,
HIRED,AAAI'25,2025,vision encoder,visual token,LLaVA-1.5-7B,0,128,57.1,61.7,53.9,1714,79.8,68.1,73.5,-,51.4,0,0,
TRIM,COLING'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,128,58.9,63.3,51.5,1732,87.2,68.4,74.8,52.7,50.6,0,0,
PyramidDrop,CVPR'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,128,57.1,61.6,56.6,1761,82.3,68.4,72.9,56.6,51,0,0,
VisionZip,CVPR'25,2025,vision encoder,visual token,LLaVA-1.5-7B,0,128,57.6,62,-,1762,83.2,68.9,75.6,56.8,-,0,0,
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,128,53.8,64.4,58.1,1761,85,68.5,76.3,56.7,50.2,0,0,
HiPrune,AAAI'26,2026,vision encoder,visual token,LLaVA-1.5-7B,0,128,57.3,62.2,56.4,1782,82.8,68.3,74.9,56.64,54.3,0,0,
ToMe,ICLR'23,2023,vision encoder,visual token,LLaVA-1.5-7B,0,64,48.6,43.7,38.9,1138,52.5,50,57.1,45.3,50.2,0,0,
FastV,ECCV'24,2024,vision encoder,visual token,LLaVA-1.5-7B,0,64,46.1,48,52.7,1256,48,51.1,55,47.8,50.8,0,0,
HIRED,AAAI'25,2025,vision encoder,visual token,LLaVA-1.5-7B,0,64,54.6,60.2,51.3,1595,73.7,68.2,69.8,-,53.3,0,0,
TRIM,COLING'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,64,56.9,61.5,44.9,1603,86.7,69,71.9,50,50.6,0,0,
PyramidDrop,CVPR'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,64,47.5,58.8,50.5,1561,55.9,69.2,69.2,50.6,50.7,0,0,
VisionZip,CVPR'25,2025,vision encoder,visual token,LLaVA-1.5-7B,0,64,55.1,60.1,-,1690,77,69,72.4,55.5,-,0,0,
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,64,53.7,60.1,52.5,1559,77.5,69.7,70.2,53.4,50.4,0,0,
HiPrune,AAAI'26,2026,vision encoder,visual token,LLaVA-1.5-7B,0,64,53.6,59.5,53.4,1646,73,68.9,69.2,54.9,54.4,0,0,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-1.5-7B,0,72,50.3,-,43.7,1394,72.3,53.4,-,-,40.2,,,
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,72,60.5,-,54.1,1425,84.5,66.2,-,-,52.1,,,
PyramidDrop,CVPR'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,72,60.1,-,55,1480,86.1,69.2,-,-,53.4,,,
SAINT,CVPR'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,72,60.7,-,54.6,1492,85.9,68.9,-,-,53.5,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-1.5-7B,0,288,60.05,64.26,58.16,1513.06,82.45,58.25,77.67,58.25,50.53,,,
